"video_id","title","description","published_at","channel_id","views","likes","comments"
"W-d-t5mtSZM","Software Engineer Vs Designer","A funny take on Software Engineer vs User Interface / Experience Designer.

Like and subscribe for more videos.","2022-10-28T03:47:46Z","UCXCwVGS0R2aypMWDEzn1FyA","24301467","567522","5715"
"lgP4LHq-gQE","When GenZ Software Engineers goes For a Job Hunt || @aashnaunnie","so i asked random people about the type of office they want to work in 
------------------------------------------------------------------------------------------------------------
☑️ Instagram : https://instagram.com/aashnajuyal06?igshid=YmMyMTA2M2Y=
 👉 FOR BUSINESS/PROMOTION OR SPONSORSHIP 
Email Id :- (aashnajuyal@gmail.com)
-------------------------------------------------------------------------------------------------------------
✅ LIKE
✅ SHARE
✅ COMMENT
✅ SUBSCRIBE

Disclaimer -
@Copyright Disclaimer : Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

#voxpop #chandigarh #davcollege #relationship #aashna #aashnaunnie #omegle #dare  #bts #kdrama #truthordare #truth #pregnancy #prank#pranks#shorts #viral #youtubeshorts #shortvideo #YouTube #ytshorts #subscribe #shortsvideo #viralshorts #reels #shortsfeed
#trendingshorts #streetinterview #girlfriend #aashnaunnie #trending #explore #fyp #omegle #india #indianboys #indiangirls #explorepage #love #lovestatus #chandigarh #pickuplines #proposal #streetdog #streetdogs #streetinterview #streetphotography #urbanmonkey #freegiveaway #giveaway #aashna #india #truthanddarechallenge #truthanddarechallenge #study #relationship #relationships #relationshipgoals #crush #shorts #sugardaddy #doraemon #truthanddare #wfh #engineering #softwareengineer #workfromhomejobs #workfromhome #jobs","2025-04-01T07:33:13Z","UCnClr89nTBMap0Az_NGpGOg","33669878","648997","924"
"79pKwdiqcwI","FASTEST Way to Learn Coding and ACTUALLY Get a Job","► Crush Your Next Technical Interview! Get my 5-Day free email crash course and a weekly coding challenge: https://www.interviewmaster.io/subscribe

Today, I'll share how to learn programming fast and get your first full-time Software Engineer job - step by step. As a self taught programmer, if you want to learn coding to get a job at FAANG, this video is for you. This video covers following:
1. How to learn to code fast?
2.  How to get a Software Engineer job?
3. How to prepare for Coding interviews?

► For more content like this, subscribe to our channel: https://www.youtube.com/PowerCouple26

► Follow us on Linkedin:
https://www.linkedin.com/in/gabag26
https://www.linkedin.com/in/sarrabounouh

► Let's be FRIENDS! https://www.instagram.com/power_couple26/

► For business inquiries, reach us on: powercouplejourney@gmail.com


Here are all the resources I mentioned in the video:
1. Learn Python: https://www.learnpython.org/
2. Build Python Projects: https://www.youtube.com/watch?v=8ext9G7xspg
3. Download VS code here: https://code.visualstudio.com/
4. Data Structures and Algorithms: https://tinyurl.com/dsa-udacity
5. Leetcode: https://leetcode.com/

NOTE: We are not paid by any of the above. Subscribe to our channel if you want to support us.

#learncoding #programming #softwareengineer #faang 

DISCLAIMER: All opinions shared on this channel are our own and don't express views or opinions of our employers. We only use our experiences and public knowledge to make our content. NO CONFIDENTIAL INFORMATION of our employers is used or shared on this channel. This is not a Professional Coaching channel, it only highlights the public resources that have worked for our careers.","2022-03-19T17:26:33Z","UCkcqmxjMXaBb0kDWqqSEU1g","6910977","279742","3732"
"5bId3N7QZec","how programmers overprepare for job interviews","Mapa hash.



📱 SOCIAL MEDIA
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
https://www.instagram.com/jomakaze/
https://twitter.com/jomakaze
https://www.facebook.com/jomakaze","2022-07-23T21:32:27Z","UCV0qA-eDDICsRR9rPcnG7tw","5411473","170879","3406"
"314OLE6mKOo","interviewing at a startup be like... (ft. Steven He)","Looking for a Software Engineering job? Current is hiring! A lot:
https://current.com/jomatech

Huuuge thanks to @StevenHe for collaborating with me on this video! Such an amazing actor. It was a blast on set ❤️.

**Pre Production**
David Huang - Co-writer

**Production**
David Huang - Producer/Co-director
John Zeng - Director of Photography
Cole Fletchall-Silva - Gaffer
Matt Iacono - First A.C.
Sunny Liu - Production Sound Mixer
Quinn Dailey - Production Assistant

**Post Production**
Color: https://www.instagram.com/bykevinwu/
Sound: https://www.instagram.com/cullenherron/



📱 Social Media
https://www.instagram.com/jomakaze/
https://twitter.com/jomakaze
https://www.facebook.com/jomakaze","2022-03-10T16:11:21Z","UCV0qA-eDDICsRR9rPcnG7tw","4919043","159236","4516"
"sQyLvZ6FP-4","How much does a SOFTWARE ENGINEER make? #shorts #ytshorts #techjobsin2minutes","How much does a SOFTWARE ENGINEER make? #shorts #ytshorts #techjobsin2minutes #amazon  #softwareengineer #interview #street
#salary #jobsearch #jobseekers #viral #viralshorts","2024-06-25T15:00:57Z","UCOQDdjPiHB1X6MJSPNdr1ng","4221716","93972","1177"
"P4FYfHfo-1o","What a typical day of a programmer can look like 💻 #coder #softwareengineer","","2022-11-10T00:47:29Z","UC9jg1BmNtMHja2jmPKqal9Q","3444532","82292","1187"
"z5w7a-8AgxI","$100,000 USA SALARY for SOFTWARE ENGINEER?","What is the Average Salary of Software Engineer in USA? I explained in this video in Telugu language how salary depends on lot of factors.

🔴 మా చిన్నింటిని చూపిస్తా రండి  ★★★★►https://youtu.be/FBD5_IyZ958
🔴 My HOME TOUR   ★★★★►https://youtu.be/FBD5_IyZ958

#Shorts
#Salary
#TeluguVlogs","2021-08-08T04:32:11Z","UCcGHvYqYWfs1JV84KD7nxbg","3197932","165237","152"
"TH370egHXAw","Cracked Google without a CS degree","https://youtu.be/u6VfH5HP71c","2023-02-11T04:00:18Z","UCkcqmxjMXaBb0kDWqqSEU1g","3127145","221524","1079"
"CvJG4sQhzsw","Fastest way to become a software developer","This video breaks down the PRACTICAL strategy for breaking into software development.
We cover:
- Guidance for candidates who don’t have a Computer Science Degree
- My personal experience in the software development field
- Three popular career paths with detailed explanation 
- How to get your foot in the door of tech
=========================================
➡️ Learn MORE:
- Access all of my software development courses using the discount below: https://www.jobreadyprogrammer.com/p/all-access-pass?coupon_code=GET_HIRED_ALREADY
- Email me if you have questions: info@jobreadyprogrammer.com
- Become Job Ready with our NEW Programming Guide (PDF): https://pages.jobreadyprogrammer.com/curriculum
=========================================
➡️ Timestamps: 
0:00 Intro
0:35 Personal Backstory
0:55 The reality of job opportunities
1:19 Three popular roles
1:32 Software Development Path
3:34 Database Path
6:12 Admin Path
7:28 Outro
=========================================
➡️ Connect with me: 
LinkedIn: https://www.linkedin.com/in/imtiaz-ahmad-80117324
Twitter: https://twitter.com/jobreadyproinc
=========================================
➡️ Job Ready Programmer Socials: 
Job Ready Programmer Platform: https://www.jobreadyprogrammer.com/
LinkedIn Page: https://www.linkedin.com/company/jobreadyprogrammer/
Discord Community: https://discord.gg/AyX3St3hDk
Facebook Page: https://www.facebook.com/jobreadyprogrammer/
=========================================
#databasedeveloper #softwaredeveloper #career #sql #tableau #databases #database #webdeveloper #html #css #javascript #java #javabasics #javatutorial #javaprogramming #aws #admin #jobreadyprogrammer","2018-04-05T20:28:51Z","UCu4mLxrAkMEcjK9N1yJOxyA","2931263","74845","3252"
"XEGpwK8bfVw","My salary as a Software Engineer","","2024-01-18T06:29:18Z","UCkcqmxjMXaBb0kDWqqSEU1g","2877552","116110","952"
"VRgxh4UetOM","what it’s like to work at GOOGLE…","Here’s a glimpse of what it’s like to work at Google - it was great to see an emphasis on community spaces & recreation!
Subscribe here: http://bit.ly/subavantinagral
___________________________________________
Come say hi on -
YouTube: http://bit.ly/subavantinagral
Discord: https://discord.gg/avantribe
Instagram: https://www.instagram.com/avantinagral/ (@avantinagral)
Twitter: https://twitter.com/avantinagral
Snapchat: http://bit.ly/AvantiNagralSnap
___________________________________________
Business E-mail: mgmt@avantinagral.com","2022-09-10T08:30:04Z","UCnU9c8lf6Cvfz8VkD4fxbVQ","2689933","96616","1211"
