video_id,title,description,published_at,channel_id,channel_title,views,likes,comments,url
vc4yL3YTwWk,Exposing the Honey Influencer Scam,Was Honey a legitimate money saving tool? Or just an affiliate marketing scam promoted by some of YouTube's biggest ...,2024-12-21T23:27:02Z,UCwhB8cJTSLxyubnKSS-PLJg,MegaLag,17103513,1216031,69043,https://youtube.com/watch?v=vc4yL3YTwWk
t5yXuHJX2Nk,The Influencer Bubble - How Money Works,Sign up for my newsletter https://compoundeddaily.com Just ten years ago the very top Youtubers on the platform were mostly ...,2022-05-24T16:49:54Z,UCkCGANrihzExmu9QiqZpPlQ,How Money Works,2543203,56425,2582,https://youtube.com/watch?v=t5yXuHJX2Nk
DBF-382_j7A,EXPOSING TECH INFLUENCERS | THE ACTUAL REALITY | Sid frequency,https://www.instagram.com/sidfrequency https://twitter.com/sidfrequency https://www.threads.net/@sidfrequency VIDEO SOURCE ...,2025-01-18T12:45:00Z,UC9XiLLekVb4fgAY-pQOdYfA,Sid,1588570,67165,10245,https://youtube.com/watch?v=DBF-382_j7A
repYOmCh8t4,How Influencer Businesses Actually (Don&#39;t) Work,Download the Business of Creators Report: https://clickhubspot.com/5gw Make a FREE professional email signature: ...,2023-04-19T16:14:10Z,UCkCGANrihzExmu9QiqZpPlQ,How Money Works,1412214,30815,1098,https://youtube.com/watch?v=repYOmCh8t4
L4MhKaiFPiY,Influencer Marketing का Future India में ? #shorts #creator #business,"Rahul Malodia is a professional CA, Management Consultant, And Business Coach. He started a revolution for Businessmen, with ...",2024-12-02T06:30:12Z,UCPgfM-dk3XAb4T3DtT6Nwsw,CA Rahul Malodia: Business Coach,1246672,123114,594,https://youtube.com/watch?v=L4MhKaiFPiY
jPm0ksPQS9E,This is how I became an INFLUENCER 📸,,2025-01-15T12:31:03Z,UC4Hn-Q4_UaCE2TiK9nrNcLQ,theriaamin,1192789,84462,59,https://youtube.com/watch?v=jPm0ksPQS9E
4Y_bXd03gpM,Honest Influencer Marketing | The Whole Truth Sayers program,"Influencer marketing is broken. Come, let's try and fix it. Together! *drumroll* Launching 'The Whole Truth-Sayers'. Calling all ...",2021-10-06T14:00:21Z,UCmSMymgGOIp-RsWA0py1y4A,The Whole Truth,1035324,1559,148,https://youtube.com/watch?v=4Y_bXd03gpM
IjS9eTpmhgk,10 Marketing Strategies Guaranteed to Grow ANY Business (PROVEN &amp; PROFITABLE),Start Here to Make $5-10K/Month (FREE Course – Join Today): ...,2022-08-15T13:30:04Z,UCKU0u3VbuYn0wD3CUr-Yn6A,Adam Erhart,858511,21720,441,https://youtube.com/watch?v=IjS9eTpmhgk
zsc9DRahjbQ,Worst Influencer Marketing Campaigns,Get Merch: https://bucha.shop Become a Member: https://www.youtube.com/channel/UCWBWgCD4oAqT3hUeq40SCUw/join ...,2024-09-19T17:15:03Z,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,793489,74304,810,https://youtube.com/watch?v=zsc9DRahjbQ
yVDGMsdhxBU,Instagram-Stars: Zwischen rotem Teppich und Influencer-Marketing (mit Shanti Tan) || PULS Reportage,"Instagramer sind für viele Teenager echte Stars - und auch Marken. Denn die Kosmetik- und Lifestyleprodukte, die sie auf ihren ...",2017-06-01T09:58:10Z,UCBzai1GXVKDdVCrwlKZg_6Q,PULS Reportage,733215,8655,428,https://youtube.com/watch?v=yVDGMsdhxBU
j79AZDt-EPQ,Best Online Business To Start In 2025 | How To Earn Money Online,Best Online Business To Start In 2025 | How To Earn Money Online | How To Make Money Online Looking to start an online ...,2024-11-19T12:30:42Z,UCf3dc-Y3k5vBTCVpPCAfG6g,Tube Sensei,618137,30141,2183,https://youtube.com/watch?v=j79AZDt-EPQ
elh_sLCHaaY,Testing the #1 Best Influencer Marketing Platform,"Do only kids watch MrBeast? Let's find out. So I can see almost 30% of MrBeast's audience is female, compared to just 13% for ...",2023-08-06T14:00:17Z,UCEP0Zgg1BuAExe6x6fPSPqQ,Alementary,522514,27191,219,https://youtube.com/watch?v=elh_sLCHaaY
Nqu31VaCarg,Ep:20 | Influencer Marketing | Ranveer Allahbadia | BeerBiceps | Bada Bharat | Dr Vivek Bindra,"A perfect blend of enchanting stories and diverse cultures, India is home to vibrant people that have their own unique stories and ...",2022-07-20T10:30:11Z,UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,520466,27357,1354,https://youtube.com/watch?v=Nqu31VaCarg
Awu-BrWwNTc,Influencer Marketing of Adore by Priyanka,,2024-09-23T15:20:52Z,UCI3pqQEe_yQwx1kG1ntDigA,The eCom Show by Shan,391474,8175,40,https://youtube.com/watch?v=Awu-BrWwNTc
2b4OPL4Tl7M,You&#39;re going to be a full-time content creator in 3 months &amp; here&#39;s how you&#39;re going to do it..,It's time to FINALLY enter your full-time content creator and full-time influencer ERA! Tess has worked with 500+ creators and in ...,2024-05-23T16:40:55Z,UCJdP8a4IrIXLY8kG3SMzliA,Tess Barclay & Busy Blooming,382083,18309,684,https://youtube.com/watch?v=2b4OPL4Tl7M
Z2tgZC_XkT4,How to 10x Your Business Overnight with Influencers,Want my books for free? Go here: https://www.acquisition.com/audiobooks The easiest business I can help you start (free trial): ...,2024-05-01T18:00:26Z,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,289134,10069,353,https://youtube.com/watch?v=Z2tgZC_XkT4
X67szqb9VYw,Create an AI Influencer &amp; Make Money Online | how To Make AI Influencer,Create an AI Influencer & Make Money Online | how To Make AI Influencer | How To Create AI Influencer Akool Link: ...,2024-09-30T12:30:27Z,UCf3dc-Y3k5vBTCVpPCAfG6g,Tube Sensei,281344,11963,801,https://youtube.com/watch?v=X67szqb9VYw
PvJibnR7TN0,"How To Launch An INFLUENCER MARKETING CAMPAIGN in 7 Simple Steps (Strategy, Outreach and Examples)","Learn how to use influencer marketing to grow your business. From strategy to outreach to execution, this video will show you ...",2021-03-09T15:30:02Z,UC7geKfz2-IH0rsgRBtHTm0g,Learn With Shopify,270708,8256,259,https://youtube.com/watch?v=PvJibnR7TN0
-dohSVH2LIU,SOUND ME Explained | THE FUTURE of INFLUENCER MARKETING,Book a Sound Me campaign or sign up to join our community of creators all around the world! https://www.sound.me/ WATCH ...,2024-11-22T16:00:06Z,UChXw2Ln_x0FyaAVAWUUKHaQ,Sound Me,288328,18985,469,https://youtube.com/watch?v=-dohSVH2LIU
WUBVXzzIGOo,"#AskGaryVee Episode 191: Influencer Marketing, How to Go Viral &amp; Vlogging","QOTD, from Lauryn: Where do you guys see Snapchat in the next two to three years? #QOTD, from Sara: Do you guys think ...",2016-03-18T01:30:00Z,UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,251663,3299,632,https://youtube.com/watch?v=WUBVXzzIGOo
ywf4HpQKuf0,Şeyda Erdoğan ile Influencer Marketing | İşin Aslı #2,"Bu haftaki konuğumuz Şeyda Erdoğan ile influencer marketing üzerine, başarı, gelecek planları ve hayatına dair keyifli bir sohbet ...",2021-01-27T17:00:28Z,UCetKWpbOb68pP3ptKzS_7fw,Kolay Değil,248621,7205,334,https://youtube.com/watch?v=ywf4HpQKuf0
fpypQ3s7t5A,"Influencer Marketing, Personal Branding Strategy, Changing the Education System | AskGaryVee 240",Subscribe to My Channel Here http://www.youtube.com/subscription_center?add_user=GaryVaynerchuk QOTD: 27:45 : Who is ...,2017-01-30T23:16:06Z,UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,245327,4960,860,https://youtube.com/watch?v=fpypQ3s7t5A
0ZxTe-mpYLk,Jack Harlow&#39;s GENIUS Influencer Marketing Strategy with New Balance,Jack Harlow's GENIUS Influencer Marketing Strategy with New Balance Video Host: Jackson Kessler   Follow Jackson⤵️ ...,2022-04-30T10:00:01Z,UC2htIc3-njRI5BKTJ2QqNfA,Our Future,242165,17294,91,https://youtube.com/watch?v=0ZxTe-mpYLk
RPNpyEDr6Jw,Earn $10/Day Online Doing Instagram Influencer Research | Influencer Marketing,Earn $10/Day Online Doing Instagram Influencer Research | Influencer Marketing ⭐ Paid Courses For Free: https://hi.switchy.io/ ...,2023-12-09T13:17:00Z,UCC_ycdL5_Rw9b6UEmtmUE3g,HBA Services,216089,9382,600,https://youtube.com/watch?v=RPNpyEDr6Jw
nDrK9lrrfFM,🤑 Earn ₹1 Crore/Year with Influencer Marketing Agency | 249 रुपये में सुरू करो! Start-Up,Master the fundamentals of launching an influencer marketing business for only 249 rupees and potentially generate 1 crore in ...,2024-04-27T15:57:25Z,UCsQ6_w5iUOUOMAUPclg2kcg,Skillsiya,203159,5430,234,https://youtube.com/watch?v=nDrK9lrrfFM
4bZUZeeiacU,5 BRAND NEW Digital Marketing Strategies for 2025 (BIGGEST Change Yet!),"Register for the FREE On-demand video masterclass training, ""How to Attract Unlimited Clients From YouTube"" Just go to: ...",2024-11-19T13:00:11Z,UCMq1R1LgS04lIKdpLh_OS1w,Wes McDowell,197376,4907,201,https://youtube.com/watch?v=4bZUZeeiacU
920cqU8wE4U,Ash Trevino&#39;s RIDICULOUS Interview at the Bop House + Poppi Soda Marketing Stunt Backfires (219),Control Body Odor ANYWHERE with @lumedeodorant and get 15% off with promo code DWKT at LumeDeodorant.com!,2025-02-15T07:22:15Z,UC_BoqR94KleV3Stb5tE97Mg,Do We Know Them?,170333,6365,1347,https://youtube.com/watch?v=920cqU8wE4U
gbbEXnRG9d8,How Influencers Have Transformed Modern Marketing | Rachel David | TEDxVancouver,"Meet Rachel David. She's a popular YouTube personality, entrepreneur, and the CEO of Hashtag Communications, a marketing ...",2019-03-18T20:11:11Z,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,160147,2697,121,https://youtube.com/watch?v=gbbEXnRG9d8
YqYz2y_dsNM,A Simple Way to Track Influencer Marketing (Using A No-Code Referral Program),Influencer marketing is more than just a trend; it's a global takeover! Brands worldwide are hitching a ride on the social media ...,2024-02-07T06:27:55Z,UCKDKJI0uPROi_ecSP1j3EGA,Referral Factory,154577,48,0,https://youtube.com/watch?v=YqYz2y_dsNM
MWW5hsZ6W8s,How We Make Millions With Influencer Marketing | Complete Guide,"In this week's ep, I chat with Gretta Van Riel, 5x Founder, queen of influencer marketing and great friend. We cover: 0:12 How she ...",2021-06-06T08:30:02Z,UC-JHxwWL4-WoqyQIYsBvTbA,Davie Fogarty,153163,5423,434,https://youtube.com/watch?v=MWW5hsZ6W8s
ph1YLA8L8lA,Start your influencer marketing agency w/ zero investment,"Build, Grow & Scale your paid community https://campuz.io/ For business enquiry biz@rahulm.io Add me INSTAGRAM ...",2023-05-23T14:16:01Z,UC7beWKhXaZuRpD-oKQj852g,Rahul M,150013,8086,313,https://youtube.com/watch?v=ph1YLA8L8lA
E0PyWC7bW4Y,"E041: Influencer Marketing Strategy: Product Seeding, Building Partnerships &amp; Measuring EMV","In this episode, we're breaking down the influencer marketing strategies we're using this year. From product seeding to scaling ...",2025-01-07T10:30:05Z,UCLCl2hY_E08Q9q2X1p6ouMA,Marketing Operators,145014,1795,0,https://youtube.com/watch?v=E0PyWC7bW4Y
OqH1BoUFEZw,Hautpflege-Influcencer xskincare über Do&#39;s und Don&#39;ts im Influencer-Marketing,"2 Millionen Menschen folgen Leons Kanal xskincare auf Tiktok und Instagram, um von seiner Skincare-Expertise zu profitieren.",2024-05-14T18:00:56Z,UC2vPnUauXTOLZHpVXCm9m7Q,OMR,141352,5601,364,https://youtube.com/watch?v=OqH1BoUFEZw
sQP_mFmDZMQ,Influencer Marketing Platform Join with as a Influencer and Get Unlimited Deals for Brand Promotions,Join As a Creator at Influencer Hiring if you Are a Influencers than Register with influencerhiring.com and dive into a world of ...,2023-11-15T11:48:56Z,UCFI7UKHU3lPuWaPBrGt6z9g,Influencer Hiring,125826,52,4,https://youtube.com/watch?v=sQP_mFmDZMQ
E64v0h895w8,Influencer Marketing is a Scheme to Push Aesthetics to Keep You Broke,Unpacking influencer marketing and how it keeps you broke by chasing aesthetics and trends promoted by influencers.,2024-05-05T14:00:07Z,UCqBkdAuMACt37Ek6p4BemVA,Social Symone ♡,125001,6082,539,https://youtube.com/watch?v=E64v0h895w8
zSLoxMgXnRg,Building an Influencer Marketing Agency with Jace Norman | GaryVee Business Meeting,I had a quick meeting with my man Jace Norman on how he could get a social media marketing business for influencers up and ...,2018-01-25T17:14:33Z,UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,123501,2696,440,https://youtube.com/watch?v=zSLoxMgXnRg
ENppuHwuX8I,How Instagram Influencers Earn Money | How to become Instagram Influencer | Social Seller Academy,Create Your Social Commerce Website: https://bit.ly/3VLtgf3 A Complete Guide to Start Online Business in India: ...,2022-02-14T14:11:28Z,UCIpnoCPKo6szdhGIalxnu5w,Social Seller Academy,123579,5572,168,https://youtube.com/watch?v=ENppuHwuX8I
aEuR8bDWE2Y,How to Promote Your Music with Influencers in 2025 | Sound Me Guide,Book a sound me campaign or sign up to join our community of creators all around the world! https://www.sound.me/ WATCH ...,2025-01-17T23:15:07Z,UChXw2Ln_x0FyaAVAWUUKHaQ,Sound Me,121700,4326,1882,https://youtube.com/watch?v=aEuR8bDWE2Y
hiZTLIKG3Hs,Wie Influencer Marketing funktioniert | YouTuber in Werbung,"Ob nun Melina Sophie für vodafone oder die Lochis für L'Oreal werben, Influencer werden immer relevanter und lukrativer für die ...",2016-10-11T12:00:02Z,UCb-cM927p9tWkqmpOrBabOQ,Ultralativ,114842,5417,163,https://youtube.com/watch?v=hiZTLIKG3Hs
9A2VL-LcHMo,Mimiyous : Bikini Model &amp; Social Media Influencer | Biography &amp; Highlights,Mimiyous : Bikini Model & Social Media Influencer | Biography & Highlights Disclaimer : - This video is all about educational and ...,2025-02-19T13:08:53Z,UCYs1famE-h0eXaEYxX9s_8A,Forever Models,118009,1919,91,https://youtube.com/watch?v=9A2VL-LcHMo
7Yt_6OLxsH8,What is influencer Marketing | Influencer Marketing,What is influencer Marketing | Influencer Marketing JOIN ...,2020-06-10T01:30:00Z,UC0T6MVd3wQDB5ICAe45OxaQ,WsCube Tech,109212,2939,39,https://youtube.com/watch?v=7Yt_6OLxsH8
oRhtJTFB5gQ,What is Influencer Marketing with Full Information? – [Hindi] – Quick Support,WhatisInfluencerMarketing? #Education #Career What is Influencer Marketing with Full Information? – [Hindi] – Quick Support.,2021-11-26T06:57:28Z,UCN3-BVMnr44LIUheSuppw1A,Quick Support,101122,4005,136,https://youtube.com/watch?v=oRhtJTFB5gQ
GrHBizG3Hyc,Influencer Marketing | How to Find Influencers in Minutes?,Influencer Marketing | How to Find Influencers in Minutes? Learn everything about Instagram Influencers | Digital Marketing ...,2019-05-09T14:00:02Z,UC0T6MVd3wQDB5ICAe45OxaQ,WsCube Tech,87714,4031,421,https://youtube.com/watch?v=GrHBizG3Hyc
9FV1r4FVOFM,They Are Making Millions of Dollars Off of Influencer Marketing?! | DailyVee 361,"It's not ""everything is changing"", it's ""everything has already changed."" There is such a massive disconnect between people and ...",2017-12-09T17:00:03Z,UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,83084,1838,343,https://youtube.com/watch?v=9FV1r4FVOFM
yaDgaRI79YE,Why Are Brands Choosing To Work With Influencers? | The Business of Influence | Forbes,"With influencer marketing on the rise, brands are opting to work with influencers to tell their stories - but why? Subscribe to ...",2017-10-02T14:00:07Z,UCmh7afBz-uWwOSSNTqUBAhg,Forbes,79855,1022,164,https://youtube.com/watch?v=yaDgaRI79YE
3_peDkK4Cio,Influencer Marketing Agency में काम ऐसे होता है Ft. Mangesh Shinde (Founder WillStar Media),"Please SUBSCRIBE to this channel for ""To the point"" Content ..!! Follow on Instagram: https://www.instagram.com/satishkvideos/ ...",2023-02-22T11:20:30Z,UChvLzY9MIzTfx0831VkY5bQ,Satish K Videos EXTRA,76575,2334,202,https://youtube.com/watch?v=3_peDkK4Cio
popowMuKyjY,How To Use Influencer Marketing To Grow Your Business (Strategies &amp; Examples),Sean Cannell shares influencer marketing tips and strategies for small businesses. ******* Ready to start growing your business ...,2019-09-26T10:00:09Z,UCGxjDWAN1KwrkXYVi8CXtjQ,Think Media,74386,2527,132,https://youtube.com/watch?v=popowMuKyjY
UsaxCmbH4Xo,This Influencer Marketing Strategy Failed (Poppi Controversy Explained),,2025-02-09T20:32:30Z,UCMspDFIojIQg-vVLJal6RqA,Asante Madrigal,74453,8463,118,https://youtube.com/watch?v=UsaxCmbH4Xo
LIlN_NMs1hQ,Indie Brand Is THREATENING Influencers | Arabella London,This Grown male-owned beauty brand is threatening to send men to content creators' houses. I think they need to be put in their ...,2025-02-19T20:30:05Z,UC2GUcyD6KYjmU_ofQtPTSSA,Robert Welsh,73324,6416,882,https://youtube.com/watch?v=LIlN_NMs1hQ
rCHpC7cQYow,What is Instagram influencer marketing?,FREE Shopify Trial ▻ https://utm.io/uguOu ▶️ Learn with Shopify https://utm.io/ugKDC.,2018-04-20T12:00:06Z,UCjuxbyEZytRdXptCYJzeXgQ,Oberlo,70939,1443,65,https://youtube.com/watch?v=rCHpC7cQYow
